"rv.BFX","rv.BSESN","rv.BVLG","rv.FCHI","rv.FTMIB","rv.NSEI","rv.OMXC20","rv.OMXHPI","rv.OMXSPI","rv.OSEAX","rv.SMSI"
2.93e-05,3.83e-05,2.17e-05,2.07e-05,2.39e-05,4.39e-05,3.54e-05,3.89e-05,2.02e-05,2.72e-05,4.62e-05
7.15e-05,4.28e-05,3.11e-05,5.98e-05,5.38e-05,3.34e-05,5.23e-05,4.43e-05,5.33e-05,5.09e-05,6.48e-05
3.04e-05,3.48e-05,2.68e-05,2.82e-05,3.21e-05,3.25e-05,0.00022293,4.94e-05,4.01e-06,3.02e-05,4.43e-05
3.23e-05,3.94e-05,2.09e-05,2.62e-05,1.6e-05,3.33e-05,6.86e-05,1.89e-05,1.74e-05,2.53e-05,1.48e-05
2.87e-05,2.95e-05,9.87e-06,1.44e-05,1.87e-05,2.76e-05,0.000100742,1.9e-05,2.26e-05,1.7e-05,2.82e-05
2.35e-05,6.81e-05,2.27e-05,1.13e-05,1.49e-05,4.7e-05,6.59e-05,1.85e-05,1.64e-05,2.22e-05,2.95e-05
4.05e-05,3.27e-05,1.48e-05,1.53e-05,1.85e-05,2.97e-05,9.78e-05,2.42e-05,2.33e-05,1.82e-05,2.46e-05
0.000125786,4.9e-05,1.93e-05,2.3e-05,2.51e-05,4.34e-05,4.4e-05,1.82e-05,1.64e-05,2.01e-05,2.83e-05
2.99e-05,2.86e-05,1.93e-05,1.55e-05,1.18e-05,3.13e-05,4.06e-05,1.21e-05,2.18e-05,2.11e-05,1.95e-05
2.11e-05,2.86e-05,6.32e-06,1.25e-05,1.99e-05,3.13e-05,2.71e-05,2.44e-05,1.9e-05,1.71e-05,2.46e-05
2.78e-05,3.03e-05,1.64e-05,2.4e-05,2.16e-05,2.77e-05,3.96e-05,1.91e-05,2.04e-05,5.83e-05,4.56e-05
3.34e-05,4.03e-05,9.13e-06,2.11e-05,2.38e-05,3.7e-05,4.17e-05,2.14e-05,2.54e-05,3.18e-05,3.45e-05
4.65e-05,3.92e-05,1.11e-05,4.66e-05,1.95e-05,4.02e-05,4.48e-05,5.11e-05,2.58e-05,4.2e-05,4.08e-05
4.78e-05,2.59e-05,1.43e-05,2.42e-05,2.32e-05,2.3e-05,4.64e-05,2.29e-05,2.58e-05,3.91e-05,2.83e-05
1.8e-05,2.44e-05,1.35e-05,1.71e-05,2.16e-05,1.93e-05,4.63e-05,1.9e-05,2.22e-05,2.83e-05,2.69e-05
5.38e-05,1.56e-05,1.46e-05,6.05e-05,2.78e-05,1.27e-05,0.000116231,2.74e-05,2.06e-05,5.8e-05,3.29e-05
5.79e-05,2.3e-05,2.02e-05,8.09e-05,3.39e-05,2.11e-05,0.000112755,4.11e-05,5.19e-05,3.67e-05,3.81e-05
4.19e-05,2.29e-05,1.61e-05,3.44e-05,2.84e-05,2.21e-05,6.24e-05,2.7e-05,2.46e-05,4.31e-05,3.24e-05
1.65e-05,2.3e-05,1.61e-05,1.28e-05,1.24e-05,0,5.83e-05,1.68e-05,1.2e-05,1.84e-05,1.36e-05
2.11e-05,3.62e-05,1.53e-05,9.1e-06,2.27e-05,3.73e-05,3.67e-05,1.33e-05,1.42e-05,2.25e-05,1.91e-05
1.94e-05,1.62e-05,1.29e-05,1.81e-05,1.15e-05,1.8e-05,2.99e-05,1.76e-05,2.9e-05,1.38e-05,1.35e-05
2.1e-05,1.89e-05,2.03e-05,8.27e-06,1.82e-05,1.57e-05,1.34e-05,1.25e-05,1.06e-05,1.3e-05,1.04e-05
2.85e-05,3.01e-05,8.87e-06,2.28e-05,2.06e-05,2.83e-05,2.82e-05,1.12e-05,1.98e-05,2.77e-05,1.79e-05
6.19e-05,4.07e-05,8.87e-06,6.98e-05,7.46e-05,3.53e-05,2.82e-05,4.42e-05,5.06e-05,3.79e-05,4.98e-05
8.68e-05,2.5e-05,3.41e-05,9.52e-05,0.000107831,2.83e-05,5.79e-05,6.07e-05,6.94e-05,5.85e-05,7.65e-05
4.62e-05,3.51e-05,2.18e-05,5.22e-05,4.29e-05,3.41e-05,4.87e-05,3.12e-05,3.37e-05,5.52e-05,4.27e-05
3.88e-05,6.39e-05,1.77e-05,3.52e-05,3.07e-05,5.54e-05,2.55e-05,1.58e-05,2.75e-05,2.15e-05,3.39e-05
2.71e-05,3.16e-05,1.76e-05,2.37e-05,4.93e-05,2.62e-05,3.23e-05,1.58e-05,2.43e-05,2.92e-05,4.81e-05
2.01e-05,3.98e-05,1.14e-05,1.55e-05,3.26e-05,3.84e-05,6.29e-05,2.18e-05,1.44e-05,1.93e-05,2.16e-05
5.49e-05,2.35e-05,3.08e-05,6.67e-05,6.14e-05,2.04e-05,7.32e-05,4.12e-05,5.38e-05,3.47e-05,5.26e-05
3.49e-05,2.84e-05,1.53e-05,2.92e-05,1.8e-05,2.48e-05,4.39e-05,1.81e-05,3.6e-05,2.31e-05,3.16e-05
8.66e-05,1.39e-05,2.26e-05,7.25e-05,6.36e-05,1.41e-05,5.83e-05,4.24e-05,5.19e-05,4.52e-05,5.2e-05
8.45e-05,2.04e-05,3.63e-05,0.000105491,8.6e-05,1.43e-05,5.26e-05,5.6e-05,5.7e-05,5.88e-05,8.44e-05
2.11e-05,2.01e-05,1.09e-05,1.82e-05,1.99e-05,2.03e-05,4.62e-05,1.98e-05,1.7e-05,1.88e-05,1.84e-05
3.31e-05,1.28e-05,1.8e-05,1.9e-05,2.63e-05,1.3e-05,2.2e-05,1.51e-05,1.85e-05,1.4e-05,2.38e-05
2.15e-05,1.84e-05,1.98e-05,1.26e-05,1.48e-05,1.93e-05,4.08e-05,2.05e-05,1.32e-05,1.35e-05,1.84e-05
1.49e-05,1.92e-05,1.64e-05,1.54e-05,1.74e-05,1.5e-05,3.78e-05,1.98e-05,2.75e-05,1.62e-05,1.66e-05
3.14e-05,1.49e-05,1.69e-05,5.64e-05,1.68e-05,1.41e-05,3.38e-05,3.01e-05,1.84e-05,2.19e-05,2.96e-05
9.88e-06,2.28e-05,1.69e-05,1.26e-05,9.54e-06,2.51e-05,2.99e-05,2.03e-05,2.48e-05,2.31e-05,1.16e-05
7.33e-06,1.14e-05,9.25e-06,4.47e-06,9.54e-06,1.05e-05,2.99e-05,2.03e-05,2.48e-05,2.31e-05,8.72e-06
7.33e-06,1.14e-05,9.25e-06,4.47e-06,9.54e-06,1.05e-05,2.99e-05,2.03e-05,2.48e-05,2.31e-05,8.72e-06
7.33e-06,1.45e-05,9.25e-06,4.47e-06,9.54e-06,1.29e-05,2.99e-05,2.03e-05,2.48e-05,2.31e-05,8.72e-06
2.14e-05,2.11e-05,2.64e-05,2.27e-05,1.28e-05,2.1e-05,2.82e-05,1.84e-05,1.14e-05,3.12e-05,2.04e-05
1.49e-05,1.82e-05,9.97e-06,2.29e-05,2.12e-05,0,3e-05,1.1e-05,1.94e-05,7.52e-06,2.04e-05
4.01e-06,2.56e-05,8.96e-06,1.63e-05,2.12e-05,1.85e-05,3e-05,1.1e-05,1.94e-05,7.52e-06,1.44e-05
4.01e-06,1.4e-05,8.96e-06,1.63e-05,2.12e-05,1.12e-05,3e-05,1.1e-05,1.94e-05,7.52e-06,1.44e-05
4.01e-06,1.44e-05,1.65e-05,2.4e-05,9.63e-06,1.02e-05,2.18e-05,3.36e-05,4.3e-05,6.56e-05,3.33e-05
3.26e-05,1.93e-05,2.88e-05,6.43e-05,2.77e-05,2.05e-05,4.9e-05,2.69e-05,3.16e-05,2.31e-05,3.12e-05
4.35e-05,5.71e-05,2.61e-05,3.82e-05,2.56e-05,3.97e-05,6.01e-05,2.69e-05,3.16e-05,2.92e-05,4.18e-05
5.27e-05,4.59e-05,2.04e-05,5.32e-05,1.94e-05,4.64e-05,6.02e-05,3.1e-05,4.49e-05,6.31e-05,3.23e-05
5.73e-05,4.76e-05,1.88e-05,4.64e-05,2.35e-05,5.04e-05,4.62e-05,2.61e-05,3.05e-05,2.13e-05,2.88e-05
2.11e-05,1.75e-05,1.44e-05,1.79e-05,1.05e-05,1.62e-05,5.39e-05,1.65e-05,1.8e-05,9.54e-06,2.05e-05
1.76e-05,2.65e-05,1.2e-05,2e-05,1.54e-05,2.82e-05,3.67e-05,1.36e-05,1.62e-05,1.93e-05,2.22e-05
4.07e-05,2.74e-05,1.18e-05,2.63e-05,2.89e-05,0,2.23e-05,1.83e-05,2.01e-05,2.06e-05,2.37e-05
5.22e-05,1.89e-05,1.72e-05,5.46e-05,3.02e-05,1.6e-05,4.65e-05,3.72e-05,4.45e-05,2.18e-05,4.58e-05
1.79e-05,2.62e-05,2.67e-05,2.5e-05,1.14e-05,1.99e-05,8.01e-05,1.74e-05,2.28e-05,1.59e-05,2.08e-05
3.53e-05,1.64e-05,1.8e-05,2.96e-05,3.23e-05,1.61e-05,7.44e-05,2.96e-05,2.97e-05,3.03e-05,3.89e-05
1.34e-05,1.56e-05,1.88e-05,1.57e-05,2.02e-05,1.49e-05,0.000126201,2.32e-05,2.98e-05,3.09e-05,2.98e-05
1.43e-05,3.77e-05,1.53e-05,7.55e-06,7.37e-06,3.55e-05,0.000126201,2.91e-05,1.76e-05,3.09e-05,1.77e-05
6.31e-05,2.81e-05,1.72e-05,4.83e-05,2.72e-05,2.38e-05,4.65e-05,4.21e-05,4.39e-05,6.27e-05,3.64e-05
1.52e-05,2.79e-05,1.05e-05,2.75e-05,1.83e-05,2.42e-05,4.89e-05,3.09e-05,3.22e-05,4.3e-05,2.29e-05
4.65e-05,2.43e-05,2.77e-05,5.3e-05,4.08e-05,2.44e-05,3.93e-05,2.82e-05,3.22e-05,5.39e-05,4.5e-05
3.3e-05,1.97e-05,1.88e-05,2.89e-05,3.03e-05,1.9e-05,6.12e-05,3.91e-05,2.77e-05,8.98e-05,3.61e-05
4.7e-05,2.49e-05,3.07e-05,6.07e-05,3.03e-05,2.49e-05,0.000155454,3.42e-05,4.97e-05,0.000257462,6.14e-05
7.24e-05,4.62e-05,2.93e-05,6.5e-05,5.17e-05,4.58e-05,3.58e-05,9.54e-05,8.64e-05,3.07e-05,4.58e-05
3.54e-05,4.02e-05,2.38e-05,4.48e-05,3.75e-05,3.92e-05,4.84e-05,4.9e-05,4.16e-05,5.19e-05,4.28e-05
7.17e-05,7.74e-05,2.24e-05,6.67e-05,6.86e-05,4.21e-05,0.000108282,4.87e-05,5.49e-05,0.000138155,8.23e-05
5.5e-05,6.27e-05,4.22e-05,6.65e-05,8.52e-05,6.07e-05,8.12e-05,3.61e-05,3.64e-05,5.12e-05,7.45e-05
5.5e-05,0.000255039,4.22e-05,6.65e-05,8.52e-05,0.000265579,8.12e-05,3.61e-05,3.64e-05,5.12e-05,7.45e-05
3.56e-05,0.000133381,2.27e-05,6.25e-05,3.41e-05,0.000143869,3.56e-05,3.03e-05,5.21e-05,4.45e-05,4.83e-05
5.3e-05,3.53e-05,1.91e-05,2.61e-05,3.25e-05,3.48e-05,2.7e-05,2.15e-05,3.2e-05,5.52e-05,2.56e-05
6.58e-05,4.52e-05,3.43e-05,8.48e-05,4.32e-05,4.3e-05,0.000131132,5.11e-05,4.16e-05,5.6e-05,4.87e-05
4.03e-05,4.33e-05,1.96e-05,4.46e-05,2.83e-05,3.97e-05,7.06e-05,0.000306981,4.7e-05,0.000226293,2.06e-05
5.77e-05,2.81e-05,2.31e-05,3.64e-05,4.27e-05,2.19e-05,6.25e-05,4.37e-05,3.1e-05,7.36e-05,4.17e-05
3.38e-05,2.68e-05,1.79e-05,2.07e-05,2.68e-05,2.83e-05,2.85e-05,3.58e-05,2.82e-05,4.46e-05,4.17e-05
2.73e-05,2e-05,2.6e-05,1.43e-05,2.31e-05,1.78e-05,9.11e-05,2.35e-05,1.87e-05,6.93e-05,1.73e-05
2.29e-05,2.31e-05,3.04e-05,1.76e-05,1.72e-05,2.15e-05,7.49e-05,3.14e-05,1.79e-05,3.13e-05,2.09e-05
7.64e-05,3.51e-05,5.25e-05,6.69e-05,5.05e-05,2.12e-05,4.39e-05,4.56e-05,4.99e-05,0.000127575,4.36e-05
2.22e-05,5.08e-05,2.26e-05,1.84e-05,1.93e-05,4.76e-05,4.09e-05,1.82e-05,1.33e-05,2.72e-05,1.85e-05
1.49e-05,6.53e-05,2.1e-05,1.26e-05,9.82e-06,6.12e-05,2.87e-05,3.41e-05,1.68e-05,1.91e-05,1.12e-05
3.29e-05,3.16e-05,2.15e-05,4.61e-05,2.81e-05,3.33e-05,5.89e-05,5.13e-05,7.96e-05,6.43e-05,2.81e-05
2.29e-05,2.89e-05,2.18e-05,1.34e-05,2.09e-05,2.67e-05,2.74e-05,1.67e-05,1.61e-05,3.89e-05,2.17e-05
3.68e-05,1.97e-05,4.97e-05,2.52e-05,5.44e-05,1.9e-05,8.36e-05,1.74e-05,2.74e-05,4.47e-05,3.22e-05
7.29e-05,1.97e-05,6.08e-05,0.000121345,0.000106338,1.9e-05,0.00014216,3.56e-05,5.31e-05,0.000118741,5.4e-05
0.000103324,5.77e-05,6.9e-05,0.000114597,0.000121842,5.33e-05,0.000294334,0.000116692,0.000209771,3.59e-05,0.000107634
0.000144795,5.55e-05,0.000101559,0.000177679,0.000135234,5.53e-05,0.000224389,8.67e-05,0.000142897,0.000192771,0.000126482
0.000442921,6.65e-05,0.000153575,0.000283605,0.000272431,4.79e-05,0.000508631,0.000292997,0.00027001,0.000380195,0.000229013
0.000414157,4.69e-05,0.000174256,0.000389978,0.000335702,4.55e-05,0.000389094,0.000248817,0.000357561,0.000472272,0.000336019
0.000655145,9.87e-05,0.000327746,0.00066361,0.000439971,9.4e-05,0.000555064,0.000415045,0.000503663,0.001255812,0.000542151
0.001063092,0.000286359,0.000430049,0.001056737,0.000584883,0.000306198,0.000445828,0.000461374,0.000513609,0.00168042,0.000595362
0.000521989,0.000231651,0.000345091,0.000720408,0.000811985,0.000209092,0.000351267,0.000400551,0.000447723,0.001009085,0.000693223
0.00020924,0.000176456,0.000168145,0.000211916,0.000240353,0.000186353,0.000174339,0.000145012,0.000209647,0.000194474,0.000230999
0.000270778,9.25e-05,0.000158828,0.000212285,0.000194419,0.00010089,0.000154725,0.000149505,0.000162706,0.000224923,0.000209138
0.000339517,0.000148383,0.000173834,0.000387123,0.000256126,0.000135948,0.000235513,0.000210466,0.000240386,0.000590257,0.000320042
0.000973013,0.000328381,0.000585929,0.001121065,0.001023459,0.00029179,0.000615075,0.000591972,0.000597535,0.019696161,0.001292477
0.001319822,0.000328381,0.000536098,0.001087005,0.000883288,0.00029179,0.000650309,0.00052295,0.000618268,0.000909156,0.001092713
0.000836707,0.000247834,0.000318986,0.000879273,0.000566725,0.00030663,0.000463045,0.000416566,0.000406311,0.000498135,0.000614547
0.00146509,0.000721118,0.00116894,0.002044508,0.002034559,0.000639367,0.000988584,0.000720125,0.001127981,0.003891285,0.002015796
0.002081175,0.008671819,0.001575305,0.002669655,0.002727618,0.00933565,0.001415402,0.001206613,0.001403986,0.002926032,0.002743654
