rv.AEX,rv.AORD,rv.BFX,rv.BSESN,rv.BVLG,rv.BVSP,rv.DJI,rv.FCHI,rv.FTMIB,rv.FTSE,rv.GDAXI,rv.GSPTSE,rv.HSI,rv.IBEX,rv.IXIC,rv.KS11,rv.KSE,rv.MXX,rv.N225,rv.NSEI,rv.OMXC20,rv.OMXHPI,rv.OMXSPI,rv.OSEAX,rv.RUT,rv.SMSI,rv.SPX,rv.SSEC,rv.SSMI,rv.STI,rv.STOXX50E,V1,V2,V3,
0.00014823,2.26E-05,6.12E-05,7.06E-05,4.15E-05,0.000158811,0.000168165,6.10E-05,9.05E-05,7.13E-05,7.19E-05,4.07E-05,3.51E-05,4.36E-05,0.000234741,4.74E-05,6.29E-05,0.000100803,3.21E-05,6.39E-05,5.63E-05,4.19E-05,5.66E-05,6.78E-05,0.00014746,7.47E-05,0.000189888,1.85E-05,3.23E-05,2.70E-05,6.55E-05,1.02E-08,1.86E-09,3.42E-10,
0.000116698,2.49E-05,0.0001506,0.000164378,5.14E-05,8.63E-05,7.51E-05,0.000144412,0.000123017,0.00031938,0.000140919,3.42E-05,2.48E-05,7.21E-05,7.47E-05,7.21E-05,2.44E-05,6.53E-05,3.58E-05,0.000147032,0.000122437,8.71E-05,8.76E-05,0.000181776,7.12E-05,9.24E-05,4.14E-05,3.19E-05,0.000105527,1.73E-05,0.000399852,4.26E-09,2.08E-09,1.02E-09,
6.47E-05,2.33E-05,0.000100112,0,3.59E-05,6.88E-05,0.000169134,0.000110708,7.99E-05,0.000167838,8.39E-05,3.42E-05,9.11E-05,5.78E-05,0.000129931,0.000104275,0.000109053,0.000125435,7.62E-05,8.23E-05,0.000122437,6.09E-05,7.39E-05,0.000138545,7.12E-05,7.94E-05,0.000254366,5.80E-05,7.91E-05,4.59E-05,0.000113327,1.57E-08,7.28E-09,3.36E-09,
9.25E-05,0.000481391,7.64E-05,8.77E-05,3.52E-05,5.51E-05,0.000103553,7.99E-05,6.67E-05,6.68E-05,0.000100468,6.78E-05,0.000180867,6.94E-05,0.000130432,0.000220464,4.27E-05,0.000101859,0.000194074,9.01E-05,0.000129363,5.36E-05,7.50E-05,6.95E-05,0.000112505,6.52E-05,6.01E-05,0.000123514,6.26E-05,5.05E-05,8.39E-05,1.04E-08,1.26E-08,1.53E-08,
0.000120041,2.44E-05,0.000136391,0.000102764,5.16E-05,5.91E-05,0.000191802,0.000107059,0.000106486,6.01E-05,9.97E-05,2.90E-05,5.89E-05,9.35E-05,0.000147861,0.000120917,9.94E-05,7.51E-05,6.11E-05,8.96E-05,0.00013059,4.95E-05,5.34E-05,7.25E-05,0.000101742,9.16E-05,0.000194923,2.83E-05,8.42E-05,2.94E-05,0.000101994,5.64E-09,2.13E-09,8.01E-10,
4.36E-05,7.47E-05,8.77E-05,6.93E-05,3.18E-05,4.38E-05,3.88E-05,5.67E-05,8.86E-05,5.94E-05,6.83E-05,1.74E-05,0.000104579,2.85E-05,4.10E-05,8.61E-05,0.000236257,4.57E-05,5.58E-05,6.57E-05,0.000202387,0.000102603,0.000102059,0.000216772,2.86E-05,6.03E-05,8.30E-05,3.50E-05,4.02E-05,4.21E-05,8.89E-05,2.09E-09,1.60E-09,1.23E-09,
4.27E-05,2.46E-05,5.60E-05,4.48E-05,2.88E-05,5.60E-05,8.06E-05,3.29E-05,5.68E-05,4.90E-05,8.39E-05,2.19E-05,3.68E-05,3.40E-05,8.61E-05,2.66E-05,7.44E-05,4.18E-05,2.42E-05,4.49E-05,0.000137595,3.99E-05,3.76E-05,5.87E-05,4.75E-05,5.68E-05,5.37E-05,2.90E-05,4.03E-05,4.21E-05,6.08E-05,1.75E-09,1.21E-09,8.41E-10,
0.000127656,1.66E-05,0.000137037,4.48E-05,2.97E-05,4.72E-05,5.40E-05,0.000120604,8.01E-05,7.65E-05,6.71E-05,1.94E-05,6.38E-05,8.62E-05,5.43E-05,3.21E-05,7.44E-05,3.29E-05,2.42E-05,4.49E-05,0.000117105,4.11E-05,5.45E-05,6.23E-05,3.02E-05,5.71E-05,5.12E-05,2.88E-05,5.75E-05,4.21E-05,0.000122695,1.08E-09,9.48E-10,8.29E-10,
0.000199974,2.69E-05,0.000210429,0.000108352,8.17E-05,4.10E-05,0.000218711,0.000236038,0.000160474,9.96E-05,0.000281326,2.34E-05,5.02E-05,0.000140779,0.000269404,3.61E-05,7.44E-05,8.27E-05,4.49E-05,9.95E-05,0.000107791,8.48E-05,0.000107752,0.000118164,0.000128467,0.000162833,0.000186989,2.04E-05,0.000137703,3.00E-05,0.00023381,6.84E-09,1.69E-09,4.16E-10,
8.92E-05,2.75E-05,7.18E-05,8.95E-05,4.56E-05,5.19E-05,0.000158132,8.39E-05,7.62E-05,5.97E-05,9.40E-05,4.06E-05,6.34E-05,0.000169261,0.000100071,2.88E-05,7.44E-05,0.000121725,2.39E-05,9.36E-05,7.03E-05,5.97E-05,5.68E-05,7.66E-05,0.00011604,6.36E-05,0.000130398,1.78E-05,6.22E-05,3.21E-05,8.60E-05,1.48E-08,2.17E-09,3.17E-10,
0.000214914,0.000190169,0.000243146,8.95E-05,8.22E-05,0.000119724,0.000103815,0.000233627,7.62E-05,0.000153793,0.000335964,3.92E-05,0.000101881,0.000123101,0.00012091,2.88E-05,7.44E-05,0.000114766,5.07E-05,9.36E-05,0.000165207,0.000149162,0.000172409,0.000195097,5.34E-05,0.000188306,4.34E-05,4.48E-05,0.000170985,4.96E-05,0.000272102,1.32E-08,5.14E-09,2.01E-09,
6.43E-05,1.88E-05,0.000108804,9.36E-05,5.73E-05,8.36E-05,6.80E-05,7.56E-05,6.17E-05,9.00E-05,7.10E-05,1.38E-05,7.60E-05,9.65E-05,4.78E-05,2.57E-05,6.18E-05,7.89E-05,2.05E-05,9.03E-05,8.34E-05,3.94E-05,5.11E-05,9.17E-05,3.85E-05,6.95E-05,3.63E-05,2.62E-05,4.16E-05,3.38E-05,9.43E-05,6.23E-09,2.07E-09,6.86E-10,
3.73E-05,4.88E-05,6.97E-05,3.94E-05,4.07E-05,6.18E-05,5.28E-05,4.88E-05,3.19E-05,8.99E-05,5.63E-05,7.97E-06,5.42E-05,2.43E-05,1.75E-05,1.92E-05,9.05E-05,0.000119985,1.82E-05,3.64E-05,4.84E-05,8.12E-05,7.44E-05,0.000186836,1.91E-05,6.35E-05,1.30E-05,4.31E-05,3.94E-05,2.57E-05,0.000107564,1.44E-08,5.17E-09,1.86E-09,
4.59E-05,2.61E-05,7.29E-05,5.75E-05,4.28E-05,8.82E-05,2.51E-05,5.86E-05,7.23E-05,5.18E-05,5.98E-05,1.90E-05,3.43E-05,5.73E-05,3.02E-05,3.04E-05,0.000101451,5.31E-05,1.38E-05,5.35E-05,5.29E-05,4.96E-05,5.35E-05,7.80E-05,1.75E-05,6.10E-05,2.46E-05,3.34E-05,4.86E-05,1.35E-05,5.44E-05,2.82E-09,1.77E-09,1.12E-09,
3.33E-05,3.92E-05,3.32E-05,3.68E-05,1.26E-05,7.86E-05,1.75E-05,4.00E-05,2.24E-05,3.50E-05,3.87E-05,9.24E-06,3.04E-05,2.96E-05,2.21E-05,2.50E-05,0.00012285,4.12E-05,1.10E-05,3.86E-05,3.64E-05,2.56E-05,3.05E-05,5.09E-05,1.37E-05,3.51E-05,4.94E-06,1.45E-05,2.78E-05,1.79E-05,4.25E-05,1.70E-09,5.97E-10,2.10E-10,
