"rv.AEX","rv.AORD","rv.BVSP","rv.DJI","rv.GDAXI","rv.GSPTSE","rv.IXIC","rv.RUT","rv.SPX","rv.SSMI","rv.STOXX50E"
3.95e-05,1.57e-05,7.22e-05,3.75e-05,4.27e-05,1.04e-05,4.68e-05,4.3e-05,2.40493e-05,3.15e-05,4.44e-05
6.33e-05,1.32e-05,0.000114566,5.88e-05,5.51e-05,2.19e-05,7.99e-05,6.8e-05,4.58808e-05,5.59e-05,6.92e-05
6.04e-05,4.96e-05,3.74e-05,3.4e-05,9.54e-05,1.4e-05,3.77e-05,2.35e-05,2.03297e-05,4e-05,8.32e-05
8.36e-05,2.88e-05,4.75e-05,5.6e-05,7.53e-05,2.02e-05,5.12e-05,3.66e-05,4.11865e-05,6.38e-05,6.34e-05
3.06e-05,5.41e-05,4.78e-05,6.32e-05,5.59e-05,1.61e-05,4.35e-05,6.29e-05,3.71126e-05,3.38e-05,4.98e-05
3.71e-05,4.42e-05,1.86e-05,1.58e-05,4.39e-05,1.61e-05,1.82e-05,1.35e-05,4.01331e-06,3.51e-05,5.88e-05
3.19e-05,9.81e-06,2.42e-05,3.14e-05,4.63e-05,7.02e-06,1.72e-05,1.68e-05,3.5552e-05,2.96e-05,8.37e-05
5.33e-05,3.84e-05,4.32e-05,1.3e-05,4.8e-05,5e-06,1.38e-05,1.27e-05,6.13779e-06,3.05e-05,4.9e-05
4.23e-05,1.34e-05,4.5e-05,1.65e-05,6.37e-05,7.95e-06,2.26e-05,1.95e-05,1.09101e-05,4.53e-05,5.89e-05
4.68e-05,2.29e-05,3.09e-05,2.7e-05,4.39e-05,1.06e-05,4.02e-05,2.64e-05,2.26694e-05,3.21e-05,4.24e-05
2.16e-05,1.9e-05,2.53e-05,1.53e-05,3.53e-05,3.03e-06,1.4e-05,2.13e-05,5.74642e-06,2.87e-05,3.2e-05
2.23e-05,1.13e-05,2.29e-05,1.71e-05,2.51e-05,7.77e-06,2.59e-05,1.77e-05,1.52367e-05,5.23e-05,2.49e-05
5e-05,1.02e-05,3.42e-05,1.33e-05,4.1e-05,7.13e-06,2.4e-05,1.48e-05,7.38955e-06,3.01e-05,4.28e-05
2.04e-05,2.24e-05,3.23e-05,2.33e-05,3.14e-05,8.92e-06,2.15e-05,1.52e-05,9.76173e-06,2.06e-05,4.48e-05
1.62e-05,2.63e-05,3.45e-05,1.82e-05,1.39e-05,4.17e-06,2.14e-05,1.12e-05,2.57049e-05,1.6e-05,1.87e-05
1.62e-05,2.63e-05,3.45e-05,1.82e-05,1.39e-05,4.17e-06,2.14e-05,1.12e-05,2.57049e-05,1.6e-05,1.87e-05
1.91e-05,8.8e-06,1.24e-05,1.7e-05,1.74e-05,5.3e-06,1.3e-05,2e-05,5.58948e-06,1.17e-05,1.47e-05
2.13e-05,1.05e-05,3.19e-05,1.39e-05,1.47e-05,9.07e-06,2.44e-05,1.02e-05,6.65083e-06,1.38e-05,2.08e-05
1.88e-05,1.77e-05,3.88e-05,1.97e-05,1.81e-05,1.07e-05,2.5e-05,2.51e-05,2.27727e-05,1.37e-05,2.03e-05
5.59e-05,1.15e-05,3.65e-05,3.71e-05,6.32e-05,1.12e-05,3.82e-05,3.05e-05,2.20115e-05,3.68e-05,6.34e-05
1.95e-05,1.48e-05,6.11e-05,1.86e-05,2.68e-05,1.65e-05,2.25e-05,1.91e-05,1.01541e-05,1.94e-05,2.5e-05
1.82e-05,2.28e-05,3.19e-05,1.88e-05,2.55e-05,5.66e-06,9.22e-06,1.6e-05,4.05687e-06,1.78e-05,2.2e-05
1.26e-05,3.31e-05,2.99e-05,1.2e-05,1.89e-05,5.46e-06,1.35e-05,1.75e-05,5.30068e-06,1.99e-05,1.28e-05
1.41e-05,8.06e-06,0.000153426,1.73e-05,2.05e-05,1.18e-05,2.02e-05,2.14e-05,5.9237e-06,2.07e-05,1.29e-05
1.6e-05,9.48e-06,4e-05,2.45e-05,2.46e-05,8.66e-06,2.56e-05,2.19e-05,1.1629e-05,1.8e-05,1.84e-05
2.45e-05,9.24e-06,9.78e-05,1.34e-05,1.65e-05,6.48e-06,1.59e-05,1.84e-05,1.44408e-05,2.4e-05,2.39e-05
1.65e-05,9.52e-06,2.35e-05,9.96e-06,2.45e-05,3.87e-06,6.87e-06,8.33e-06,5.94216e-06,1.38e-05,1.36e-05
9.09e-06,1.02e-05,5.86e-05,1.18e-05,1.3e-05,4.37e-06,1.48e-05,1.55e-05,1.20479e-05,1.36e-05,1.27e-05
2.33e-05,1.43e-05,8.45e-05,1.94e-05,2.7e-05,7.37e-06,2.17e-05,1.89e-05,1.40267e-05,2.09e-05,2.74e-05
2.33e-05,2.94e-05,2.83e-05,1.18e-05,2.46e-05,4.19e-06,1.56e-05,1.1e-05,8.42737e-06,1.73e-05,2.08e-05
3.93e-05,1.57e-05,2.83e-05,8.64e-06,1.78e-05,3.86e-06,8.85e-06,8.32e-06,9.36458e-06,2.5e-05,2.79e-05
2.2e-05,7.1e-06,3.21e-05,6.74e-06,3.8e-05,3.43e-06,1.25e-05,7.94e-06,5.44014e-06,3.32e-05,2.45e-05
1.64e-05,1.11e-05,3.33e-05,1.55e-05,4.91e-05,1.01e-05,1.54e-05,1.51e-05,7.43682e-06,3.27e-05,2.11e-05
2.55e-05,4.14e-05,3.33e-05,2.43e-05,2.94e-05,6.31e-06,4.74e-05,4.88e-05,2.84122e-05,2.12e-05,3.99e-05
5.27e-05,5.67e-05,3.24e-05,1.29e-05,3.25e-05,9.71e-06,2.87e-05,2.53e-05,9.07325e-06,2.82e-05,4.87e-05
2.53e-05,1.99e-05,3.23e-05,8.2e-06,4.66e-05,5.22e-06,1.59e-05,8.93e-06,6.92497e-06,2.7e-05,3.67e-05
8.17e-06,2.23e-05,2.78e-05,8.01e-06,1.47e-05,3.86e-06,1.24e-05,2.04e-05,9.91757e-06,1.57e-05,2.04e-05
1.31e-05,2.43e-05,5.85e-05,6.08e-06,1.38e-05,6.58e-06,5.82e-06,1.15e-05,5.00904e-06,1.99e-05,1.08e-05
1.54e-05,1.15e-05,3.71e-05,6.95e-06,2.58e-05,4.59e-06,3.76e-06,9.57e-06,4.28236e-06,1.57e-05,1.8e-05
9.05e-06,1.27e-05,2.83e-05,6.95e-06,8.59e-06,1.51e-06,3.76e-06,9.57e-06,4.28236e-06,9.32e-06,8.42e-06
2.09e-05,1.66e-05,4.72e-05,4.68e-06,2.05e-05,7.99e-06,5.07e-06,9.57e-06,4.38068e-06,1.49e-05,1.81e-05
